t (ms),Ina (pA)
3.89,0.08677677
3.9,0.086152909
3.91,0.085534647
3.92,0.084921933
3.93,0.084314717
3.94,0.083712951
3.95,0.083116585
3.96,0.082525571
3.97,0.08193986
3.98,0.081359406
3.99,0.080784162
4,0.080214079
4.01,0.079649113
4.02,0.079089217
4.03,0.078534345
4.04,0.077984453
4.05,0.077439496
4.06,0.07689943
4.07,0.07636421
4.08,0.075833793
4.09,0.075308137
4.1,0.074787197
4.11,0.074270933
4.12,0.073759302
4.13,0.073252263
4.14,0.072749774
4.15,0.072251794
4.16,0.071758284
4.17,0.071269202
4.18,0.07078451
4.19,0.070304167
4.2,0.069828135
4.21,0.069356375
4.22,0.068888849
4.23,0.068425519
4.24,0.067966346
4.25,0.067511295
4.26,0.067060327
4.27,0.066613407
4.28,0.066170497
4.29,0.065731562
4.3,0.065296566
4.31,0.064865474
4.32,0.064438251
4.33,0.064014862
4.34,0.063595272
4.35,0.063179448
4.36,0.062767356
4.37,0.062358962
4.38,0.061954234
4.39,0.061553137
4.4,0.06115564
4.41,0.06076171
4.42,0.060371316
4.43,0.059984425
4.44,0.059601006
4.45,0.059221028
4.46,0.05884446
4.47,0.058471272
4.48,0.058101433
4.49,0.057734913
4.5,0.057371682
4.51,0.057011711
4.52,0.05665497
4.53,0.056301432
4.54,0.055951065
4.55,0.055603844
4.56,0.055259738
4.57,0.05491872
4.58,0.054580763
4.59,0.054245839
4.6,0.05391392
4.61,0.053584981
4.62,0.053258993
4.63,0.052935931
4.64,0.052615768
4.65,0.052298479
4.66,0.051984037
4.67,0.051672417
4.68,0.051363593
4.69,0.051057541
4.7,0.050754236
4.71,0.050453652
4.72,0.050155767
4.73,0.049860554
4.74,0.049567991
4.75,0.049278054
4.76,0.048990718
4.77,0.048705961
4.78,0.04842376
4.79,0.048144091
4.8,0.047866933
4.81,0.047592261
4.82,0.047320055
4.83,0.047050291
4.84,0.046782948
4.85,0.046518005
4.86,0.046255439
4.87,0.04599523
4.88,0.045737356
4.89,0.045481796
4.9,0.04522853
4.91,0.044977537
4.92,0.044728796
4.93,0.044482287
4.94,0.044237991
4.95,0.043995887
4.96,0.043755956
4.97,0.043518178
4.98,0.043282534
4.99,0.043049005
5,0.042817572
5.01,0.042588215
5.02,0.042360917
5.03,0.042135659
5.04,0.041912422
5.05,0.041691189
5.06,0.041471941
5.07,0.041254661
5.08,0.041039331
5.09,0.040825933
